Sector,Yojana Name,Eligibility,Deadline,Benefits
Finance,Pradhan Mantri Matru Vandana Yojana (PMMVY),"Pregnant and lactating mothers, excluding those in regular employment with Central/State Govts or PSUs",Ongoing,"Rs. 5,000 in three installments"
Institutional Support,Swadhar Greh Scheme,"Women in difficult circumstances, such as victims of trafficking or domestic violence",Ongoing,"Institutional support for rehabilitation"
Education,Beti Bachao Beti Padhao (BBBP),"Girls below 18 years, particularly in districts with low child sex ratio",Ongoing,"Promotes girls’ education and addresses declining child sex ratio"
Education,National Scholarship for Girls,"Meritorious girls from economically weaker sections",Ongoing,"Financial assistance for education"
Employment,Working Women Hostel,"Working women, particularly in urban, semi-urban, or rural areas",Ongoing,"Safe accommodation with daycare facilities"
Employment,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),"Rural youth, including women",Ongoing,"Skill training and employment opportunities"
Incentive Benefits,Ujjawala Scheme,"Victims of trafficking for commercial sexual exploitation",Ongoing,"Rescue, rehabilitation, and repatriation support"
Incentive Benefits,Sakhi Scheme,"Women in difficult circumstances",Ongoing,"One-stop crisis centers for support"
Other,One Stop Centre and Universalization of Women Helplines,"Women affected by violence",Ongoing,"Integrated services for support"
Other,Mahila Shakti Kendra (MSK),"Rural women",Ongoing,"Empowerment through community participation"
